disbursement_request_id,loan_application_id,application_decision_id,request_no,disbursement_amount,beneficiary_account_no,beneficiary_bank_code,beneficiary_name,request_status,payment_reference_id,failure_code,failure_message,requested_at,sent_at,responded_at,created_at,updated_at
37bd33b6-81cb-5542-bb34-084038ec2de7,ae4fac37-93a2-5ba8-b850-5ada19f858e3,bc1e6a12-6dec-5795-b750-016802a0042c,DIS20260215000009,32000000.00,012300000009,MBB,TRẦN LINH,REJECTED,,INVALID_ACCOUNT,Beneficiary account is invalid,2026-02-15 09:19:00,2026-02-15 09:19:02,2026-02-15 09:19:04,2026-02-15 09:19:00,2026-02-15 09:19:04
43884e86-05de-502e-bd42-ff55bf8ea7c6,483af3a1-afca-5552-9372-3a03a7413d79,98e2d154-3342-52a7-acf1-175e261ceba3,DIS20260220000010,40000000.00,012300000010,VCB,LÊ MINH,ACCEPTED,PAY20260220000010,,,2026-02-20 09:20:00,2026-02-20 09:20:02,2026-02-20 09:20:04,2026-02-20 09:20:00,2026-02-20 09:20:04
499af50d-c074-515d-990d-88f35a95165f,b9473789-25ec-5211-bc02-d9ca8cf51997,910d8593-e0b7-56ba-ae49-ffd37c01b28a,DIS20260411000011,48000000.00,012300000011,TCB,PHẠM NAM,ACCEPTED,PAY20260411000011,,,2026-04-11 09:21:00,2026-04-11 09:21:02,2026-04-11 09:21:04,2026-04-11 09:21:00,2026-04-11 09:21:04
9b62f691-9180-588b-bbbc-fe1013c0d89a,254cc7f8-fbcf-5d4b-9d2b-8fb866986c3a,f85dd0a6-1a0e-5c60-9817-93c802f76538,DIS20260412000012,56000000.00,012300000012,MBB,HOÀNG NGA,ACCEPTED,PAY20260412000012,,,2026-04-12 09:22:00,2026-04-12 09:22:02,2026-04-12 09:22:04,2026-04-12 09:22:00,2026-04-12 09:22:04
fa1c8f0b-7c2e-5e38-8561-db501bba7ff3,e57a2ef9-998a-533f-b118-76f1e7b337f3,09d742c8-271a-572a-a885-22213c77a5d4,DIS20260413000013,16000000.00,012300000013,VCB,ĐỖ PHÚC,ACCEPTED,PAY20260413000013,,,2026-04-13 09:23:00,2026-04-13 09:23:02,2026-04-13 09:23:04,2026-04-13 09:23:00,2026-04-13 09:23:04
6a958111-6ef2-58fa-9e48-a5cfbc7d5aa6,9f5f48eb-b51c-5a03-9eb0-73f94a2e5751,d4106095-c406-5a20-b5ee-325c82635859,DIS20250106000014,24000000.00,012300000014,TCB,BÙI QUÂN,ACCEPTED,PAY20250106000014,,,2025-01-06 09:24:00,2025-01-06 09:24:02,2025-01-06 09:24:04,2025-01-06 09:24:00,2025-01-06 09:24:04
5dfe49d5-6b6a-54de-8f11-d8e7ce5b98f5,6760c9d5-2896-5c35-9f96-56d980c5f8ae,0545c054-b646-59da-b5a8-d4474f8539c4,DIS20260426000023,48000000.00,012300000023,TCB,TRẦN AN,REJECTED,,INVALID_ACCOUNT,Beneficiary account is invalid,2026-04-26 09:33:00,2026-04-26 09:33:02,2026-04-26 09:33:04,2026-04-26 09:33:00,2026-04-26 09:33:04
c6d6d90f-fd61-5cb0-84af-5efe551671c5,35749f54-8cdb-56d9-8f13-f8bdea46301b,19ba0036-23ac-56b0-bbc9-4708275acbe0,DIS20260501000024,56000000.00,012300000024,MBB,NGUYỄN AN,ACCEPTED,PAY20260501000024,,,2026-05-01 09:34:00,2026-05-01 09:34:02,2026-05-01 09:34:04,2026-05-01 09:34:00,2026-05-01 09:34:04
a43e6fba-3e5b-525e-b0b9-4a25ba938f27,439e1b77-73e4-577a-8c40-44664b26c0f7,91b88d0a-8dbc-52e0-88b3-1fe5ad59a037,DIS20260511000025,16000000.00,012300000025,VCB,TRẦN BÌNH,ACCEPTED,PAY20260511000025,,,2026-05-11 09:35:00,2026-05-11 09:35:02,2026-05-11 09:35:04,2026-05-11 09:35:00,2026-05-11 09:35:04
e30d06fd-b4a6-55c7-be65-492d5979fb1b,0eec06bf-9384-561a-a16b-8e167328b87b,be71e0f1-bd0e-54a9-9805-9e55fe511d62,DIS20260512000026,24000000.00,012300000026,TCB,LÊ CHI,ACCEPTED,PAY20260512000026,,,2026-05-12 09:36:00,2026-05-12 09:36:02,2026-05-12 09:36:04,2026-05-12 09:36:00,2026-05-12 09:36:04
3ed0d080-2cfb-57db-b7d5-2368230ac7b2,2a5b71d6-b9de-5c5e-b9ec-fa705bb46e79,11f89c22-8b62-5a93-919d-28cabc157663,DIS20260513000027,32000000.00,012300000027,MBB,PHẠM DŨNG,ACCEPTED,PAY20260513000027,,,2026-05-13 09:37:00,2026-05-13 09:37:02,2026-05-13 09:37:04,2026-05-13 09:37:00,2026-05-13 09:37:04
f3edb67a-51dd-5cb6-9d9f-33eed3542f5a,dc21cebf-27e9-58cd-9e6b-5883f4070aaf,5058b558-ffba-59f5-a453-797008a958ba,DIS20250205000028,40000000.00,012300000028,VCB,HOÀNG GIANG,ACCEPTED,PAY20250205000028,,,2025-02-05 09:38:00,2025-02-05 09:38:02,2025-02-05 09:38:04,2025-02-05 09:38:00,2025-02-05 09:38:04
